file,question_id,stage,skill,issue_types,issue_count,requires_manual_content,recommended_phase
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3bdcabeafe,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3c60c0865e,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3d44326fcb,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3d7693d9d3,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3dc5f753b6,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3dd9034029,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3ddf3a91bf,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3df183b0d2,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3ec11f1b1e,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3fe3e949fa,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3fe6c826ca,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3fecaf84b9,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4044bf5959,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_412c19d807,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4179677e3a,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_42325d042a,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4406869b93,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_45d3582ee7,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4666b596a1,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4678478bbb,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_46b6dfc570,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_46d3e2433d,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_478de906c9,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4849a90248,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_48819a13b7,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_48a3cd039a,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_49094215c5,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_492fadaabb,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4a7969d25e,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4bab699ce1,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4ceaffe18a,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4dace2290d,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4e2dcef0b2,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4e45c4c292,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4eb3d93441,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_50314f84ac,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_50be1a5374,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_50c23fe3b9,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_51961c53fa,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5349cdfa71,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5435894de4,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_545921bd0e,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_546052013f,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_54a4707cd2,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5504b2a777,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_55750f53ac,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_55928e0c44,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_56d9a28178,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5788f6583c,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_58012453c2,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_58331ee58c,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_58344bc368,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5872e0741c,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_587676feda,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_587968f1cb,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_594c4a45ff,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_59db7408ec,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5adef74272,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5b2810f41e,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5bdd1696df,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5c0846caa8,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5d37cdfd46,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5ed14595c2,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5ef510722d,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5f822ac4f4,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5fbeccf7dc,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5feaabbf10,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_60913f19ba,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_6094cb3c90,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_612044ab0d,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_62b4f59903,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_62b60c92dd,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_63cd2200c7,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_63d9eedf59,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_64be2a3c1d,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_6649bcdd25,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_66984f0404,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_66c4db92f9,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_66d56a6c03,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
